part_id,date,quantity
BRK001,2026-01-01,5
BRK002,2026-01-01,3
ELE002,2026-01-01,4
ENG001,2026-01-01,5
ENG002,2026-01-01,3
ENG003,2026-01-01,5
FST001,2026-01-01,2
FST002,2026-01-01,6
FST003,2026-01-01,4
FST004,2026-01-01,2
HYD003,2026-01-01,3
HYD004,2026-01-01,2
MNT001,2026-01-01,2
MNT002,2026-01-01,3
MNT003,2026-01-01,3
TRN003,2026-01-01,1
BRK001,2026-01-02,4
BRK002,2026-01-02,5
BRK003,2026-01-02,2
ELE001,2026-01-02,2
ELE002,2026-01-02,2
ENG001,2026-01-02,3
ENG002,2026-01-02,6
ENG003,2026-01-02,4
FST001,2026-01-02,5
FST002,2026-01-02,4
FST003,2026-01-02,5
FST004,2026-01-02,2
HYD001,2026-01-02,1
HYD003,2026-01-02,5
HYD004,2026-01-02,1
MNT001,2026-01-02,4
MNT002,2026-01-02,4
MNT003,2026-01-02,2
TRN001,2026-01-02,2
BRK001,2026-01-03,4
BRK003,2026-01-03,2
ELE001,2026-01-03,3
ELE002,2026-01-03,4
ENG001,2026-01-03,2
ENG002,2026-01-03,6
ENG003,2026-01-03,5
FST001,2026-01-03,4
FST002,2026-01-03,4
FST003,2026-01-03,7
HYD003,2026-01-03,6
MNT001,2026-01-03,3
MNT002,2026-01-03,4
MNT003,2026-01-03,2
STR002,2026-01-03,1
TRN002,2026-01-03,2
BRK001,2026-01-04,5
BRK002,2026-01-04,5
BRK003,2026-01-04,1
ELE001,2026-01-04,3
ELE002,2026-01-04,4
ELE003,2026-01-04,1
ENG001,2026-01-04,5
ENG003,2026-01-04,3
ENG004,2026-01-04,1
FST001,2026-01-04,3
FST002,2026-01-04,6
FST004,2026-01-04,3
HYD001,2026-01-04,1
HYD002,2026-01-04,2
HYD003,2026-01-04,6
HYD004,2026-01-04,1
MNT001,2026-01-04,3
MNT002,2026-01-04,5
MNT004,2026-01-04,1
TRN003,2026-01-04,1
BRK001,2026-01-05,7
BRK002,2026-01-05,3
ELE001,2026-01-05,2
ELE002,2026-01-05,3
ENG001,2026-01-05,3
ENG002,2026-01-05,3
ENG003,2026-01-05,3
FST001,2026-01-05,2
FST002,2026-01-05,5
FST003,2026-01-05,4
HYD002,2026-01-05,2
HYD003,2026-01-05,3
MNT001,2026-01-05,4
MNT002,2026-01-05,5
MNT003,2026-01-05,4
MNT004,2026-01-05,2
TRN001,2026-01-05,2
TRN002,2026-01-05,1
BRK001,2026-01-06,7
BRK002,2026-01-06,5
BRK003,2026-01-06,1
ELE001,2026-01-06,4
ELE002,2026-01-06,3
ENG001,2026-01-06,2
ENG002,2026-01-06,3
ENG004,2026-01-06,1
FST001,2026-01-06,4
FST002,2026-01-06,6
FST003,2026-01-06,4
FST004,2026-01-06,3
HYD003,2026-01-06,3
MNT001,2026-01-06,2
MNT002,2026-01-06,5
MNT003,2026-01-06,3
TRN002,2026-01-06,2
TRN003,2026-01-06,2
BRK001,2026-01-07,6
BRK002,2026-01-07,4
