part_id,date,quantity,type
FST002,2025-10-05,120,Restock
FST003,2025-10-06,150,Restock
BRK001,2025-10-08,90,Restock
ENG002,2025-10-10,70,Restock
MNT002,2025-10-11,60,Restock
FST001,2025-10-13,100,Restock
HYD003,2025-10-15,45,Restock
ELE002,2025-10-18,35,Restock
BRK002,2025-10-20,50,Restock
MNT001,2025-10-21,55,Restock
ENG003,2025-10-24,40,Restock
FST004,2025-10-25,80,Restock
TRN003,2025-10-27,20,Restock
HYD004,2025-10-29,25,Restock
ELE001,2025-10-30,30,Restock
FST002,2025-11-02,110,Restock
FST003,2025-11-04,140,Restock
BRK001,2025-11-05,100,Restock
ENG001,2025-11-06,75,Restock
MNT002,2025-11-08,65,Restock
FST001,2025-11-09,95,Restock
HYD003,2025-11-12,50,Restock
ELE002,2025-11-14,30,Restock
BRK002,2025-11-16,45,Restock
ENG004,2025-11-18,20,Restock
MNT003,2025-11-20,40,Restock
TRN002,2025-11-22,18,Restock
HYD002,2025-11-24,15,Restock
ELE003,2025-11-26,20,Restock
FST004,2025-11-28,70,Restock
FST003,2025-12-01,160,Restock
FST002,2025-12-03,130,Restock
BRK001,2025-12-04,95,Restock
ENG002,2025-12-06,80,Restock
MNT002,2025-12-08,55,Restock
FST001,2025-12-09,105,Restock
HYD003,2025-12-11,45,Restock
ELE001,2025-12-12,35,Restock
BRK003,2025-12-14,25,Restock
ENG003,2025-12-16,45,Restock
MNT001,2025-12-18,50,Restock
TRN001,2025-12-20,15,Restock
HYD004,2025-12-21,20,Restock
ELE004,2025-12-23,10,Restock
BRK004,2025-12-24,12,Restock
STR002,2025-12-27,8,Restock
FST004,2025-12-29,75,Restock
FST003,2026-01-02,170,Restock
FST002,2026-01-03,125,Restock
BRK001,2026-01-05,110,Restock
ENG001,2026-01-06,85,Restock
MNT002,2026-01-08,60,Restock
FST001,2026-01-10,115,Restock
HYD003,2026-01-11,50,Restock
ELE002,2026-01-13,40,Restock
BRK002,2026-01-15,55,Restock
ENG004,2026-01-16,18,Restock
MNT003,2026-01-18,45,Restock
TRN003,2026-01-20,22,Restock
HYD002,2026-01-21,18,Restock
ELE003,2026-01-23,22,Restock
FST004,2026-01-25,85,Restock
TRN004,2026-01-27,6,Restock
STR001,2026-01-28,5,Restock
FST003,2026-02-01,180,Restock
FST002,2026-02-02,140,Restock
BRK001,2026-02-04,120,Restock
ENG002,2026-02-06,90,Restock
MNT002,2026-02-07,65,Restock
FST001,2026-02-09,110,Restock
HYD003,2026-02-11,55,Restock
ELE001,2026-02-13,35,Restock
BRK002,2026-02-14,60,Restock
ENG003,2026-02-16,50,Restock
MNT001,2026-02-18,55,Restock
TRN001,2026-02-20,18,Restock
HYD004,2026-02-22,25,Restock
ELE004,2026-02-24,8,Restock
BRK004,2026-02-25,10,Restock
STR002,2026-02-27,6,Restock
FST004,2026-02-28,90,Restock
FST003,2026-03-02,190,Restock
FST002,2026-03-03,150,Restock
BRK001,2026-03-05,125,Restock
ENG001,2026-03-06,95,Restock
MNT002,2026-03-08,70,Restock
FST001,2026-03-10,120,Restock
HYD003,2026-03-11,60,Restock
ELE002,2026-03-13,42,Restock
BRK002,2026-03-15,65,Restock
ENG004,2026-03-16,20,Restock
MNT003,2026-03-18,48,Restock
TRN003,2026-03-20,24,Restock
HYD002,2026-03-22,20,Restock
ELE003,2026-03-23,24,Restock
FST004,2026-03-25,95,Restock
TRN004,2026-03-27,5,Restock
STR001,2026-03-28,4,Restock
